team_id,school name,full school name,nickname,conference,place,reg
20435,Towson,Towson University,Tigers,Colonial Athletic Association,"Towson,Maryland",MD
20336,Troy,Troy University,Trojans,Sun Belt Conference,"Troy,Alabama",AL
20173,Tulane,Tulane University,Green Wave,American Athletic Conference,"New Orleans,Louisiana",LA
20442,UC Davis,University of California-Davis,Aggies,Big West Conference,"Davis,California",CA
20029,UC Irvine,"University of California, Irvine",Anteaters,Big West Conference,"Irvine,California",CA
20232,UC Riverside,University of California-Riverside,Highlanders,Big West Conference,"Riverside,California",CA
20304,UC Santa Barbara,University of California-Santa Barbara,Gauchos,Big West Conference,"Santa Barbara,California",CA
20054,UCLA,"University of California, Los Angeles (UCLA)",Bruins,Pacific-12 Conference,"Los Angeles,California",CA
20648,UL Lafayette,University of Louisiana at Lafayette,Ragin' Cajuns,Sun Belt Conference,"Lafayette,Louisiana",LA
20297,UMBC,University of Maryland-Baltimore County,Retrievers,America East Conference,"Catonsville,Maryland",MD
20861,UNC Asheville,University of North Carolina-Asheville,Bulldogs,Big South Conference,"Asheville,North Carolina",NC
20502,UNC Charlotte,University of North Carolina-Charlotte,49ers,Conference USA,"Charlotte,North Carolina",NC
20215,UNC Greensboro,University of North Carolina-Greensboro,Spartans,Southern Conference,"Greensboro,North Carolina",NC
20652,UNC Wilmington,University of North Carolina at Wilmington,Seahawks,Colonial Athletic Association,"Wilmington,North Carolina",NC
20196,UNLV,UNLV,Runnin' Rebels,Mountain West Conference,"Las Vegas,Nevada",NV
20064,USC,University of Southern California (USC),Trojans,Pacific-12 Conference,"Los Angeles,California",CA
21767,USC Upstate,University of South Carolina-Upstate,Spartans,Big South Conference,"Spartanburg,South Carolina",SC
20659,UT Arlington,University of Texas-Arlington,Mavericks,Sun Belt Conference,"Arlington,Texas",TX
20809,UT Rio Grande Valley,UT Rio Grande Valley,Vaqueros,Western Athletic Conference,"Edinburg,Texas",TX
21083,UT San Antonio,University of Texas-San Antonio,Roadrunners,Conference USA,"San Antonio,Texas",TX
20472,Utah,University of Utah,Utes,Pacific-12 Conference,"Salt Lake City,Utah",UT
20966,Utah Valley,Utah Valley University,Wolverines,Western Athletic Conference,"Orem,Utah",UT
20503,Valparaiso,Valparaiso University,Crusaders,Missouri Valley Conference,"Valparaiso,Indiana",IN
20231,Vanderbilt,Vanderbilt University,Commodores,Southeastern Conference,"Nashville,Tennessee",TN
20198,Villanova,Villanova University,Wildcats,Big East Conference,"Villanova,Pennsylvania",PA
20194,Virginia,University of Virginia,Cavaliers,Atlantic Coast Conference,"Charlottesville,Virginia",VA
20072,Virginia Commonwealth,Virginia Commonwealth University,Rams,Atlantic 10 Conference,"Richmond,Virginia",VA
20293,Virginia Tech,Virginia Tech,Hokies,Atlantic Coast Conference,"Blacksburg,Virginia",VA
20665,VMI,Virginia Military Institute,Keydets,Southern Conference,"Lexington,Virginia",VA
21096,Wagner,Wagner College,Seahawks,Northeast Conference,"Staten Island,New York",NY
20094,Wake Forest,Wake Forest University,Demon Deacons,Atlantic Coast Conference,"Winston-Salem,North Carolina",NC
20318,Washington,University of Washington,Huskies,Pacific-12 Conference,"Seattle,Washington",WA
20057,Washington State,Washington State University,Cougars,Pacific-12 Conference,"Pullman,Washington",WA
20195,West Virginia,West Virginia University,Mountaineers,Big 12 Conference,"Morgantown,West Virginia",WV
20485,Western Carolina,Western Carolina University,Catamounts,Southern Conference,"Cullowhee,North Carolina",NC
20474,Western Illinois,Western Illinois University,Leathernecks,Summit League,"Macomb,Illinois",IL
20670,Western Kentucky,Western Kentucky University,Hilltoppers,Conference USA,"Bowling Green,Kentucky",KY
20277,Western Michigan,Western Michigan University,Broncos,Mid-American Conference,"Kalamazoo,Michigan",MI
